,Indegree
22047,17
22063,622
22071,1
22073,4
22075,4
22092,19
22100,1
22103,4
22106,8
22129,4
22139,32
22141,1
22165,1
22167,17
22185,24
22187,1
22191,718
22194,2926
22210,2
22211,1
22226,86
22247,387
22258,2
22261,67
22268,2
22269,1
22273,3
22279,6
22290,3
22305,15
22310,1
22327,2
22330,1
22338,3
22343,333
22345,1
22390,1
22392,5
22409,3
22430,22
22431,9
22444,30
22458,2
22460,2
22477,122
22488,15
22490,2
22495,2
22513,7
22522,19
22532,13
22550,62
22559,3
22562,1
22582,107
22588,330
22594,145
22599,492
22601,5
22603,18
22604,37
22613,2
22619,11
22625,1
22643,6
22647,62
22659,1
22665,2
22666,707
22680,100
22683,1
22684,3
22714,2
22721,2928
22727,3
22738,5
22740,2
22742,1
22750,44
22753,145
22778,32
22788,7
22817,210
22831,10
22834,2
22838,1
22839,1
22852,2
22855,59
22858,1
22904,1
22906,311
22910,2
22913,2
22916,63
22940,7
22941,24
22952,24
22954,88
22958,5
22972,3
22977,8
22986,3
23018,149
23019,2
23020,1
23036,21
23047,16
23074,12
23108,1
23124,17
23134,1
23140,7
23148,12
23149,16
23155,7
23157,6
23170,1
23177,305
23182,8
23185,1
23202,1
23211,58
23225,93
23239,1
23261,11
23262,21
23267,15
23282,1
23306,2
23322,4
23330,368
23343,3
23350,1
23355,1
23379,5
23383,1
23400,1
23401,58
23404,176
23418,1
23424,46
23429,28
23441,88
23446,10
23465,5
23473,8
23475,163
23479,1
23481,49
23487,4
23505,1
23524,4
23538,3
23539,1
23544,42
23545,1
23557,104
23559,32
23574,2
23577,2
23589,1
23605,1
23614,507
23634,1
23637,2
23638,93
23641,7
23655,8
23657,61
23670,11
23681,16
23684,419
23729,51
23731,5
23737,1
23738,1
23745,511
23750,96
23753,45370
23760,1
23767,1
23768,61
23771,5
23791,1
23798,1
23800,7
23829,2
23833,8
23834,33
23862,4
23885,1
23890,1
23908,193
23927,3
23934,1
23941,2
23946,14
23951,16
23959,3845
23980,78
23988,1
23992,6
23994,4
23996,8154
24008,12
24009,1
24022,150
24027,26
24032,9
24043,1
24050,11
24055,1
24059,4
24072,106
24078,2
24103,5
24110,23
24111,3
24120,4
24124,3
24139,10
24145,1
24146,3
24159,3
24162,22
24185,46
24202,69
24205,85
24206,145
24209,2
24212,2
24213,1
24215,1
24222,1
24236,185
24238,2
24241,2
24246,14
24251,1
24258,12
24260,1
24272,3
24290,41
24293,65
24296,7
24298,1
24315,2
24317,2
24326,9
24331,9
24335,70
24353,1
24357,1
24359,4
24370,40
24372,2
24378,1
24391,1
24405,12
24424,1
24441,2
24449,25
24459,1
24460,38660
24470,1350
24480,545
24484,1
24488,2433
24505,56
24507,1
24525,1
24528,1658
24532,2
24535,4
24536,302
24538,18
24572,5
24574,13
24582,1
24588,2
24595,6
24603,1
24616,1
24625,2
24637,20971
24638,179
24639,76
24654,1
24663,3
24680,304
24681,11
24689,2
24690,1
24698,1
24724,20
24727,1
24742,1
24765,7
24791,3
24812,203
24820,3
24824,2
24826,1
24832,30
24835,1
24854,7
24864,2
24872,17
24885,69
24934,1
24951,29
24959,1
24963,1038
24974,14
24977,8
24995,67
24998,2
25008,32
25083,319
25092,1
25096,5
25100,4
25117,35
25120,3
25127,1
25166,6
25179,4
25180,18
25189,1
25196,3
25203,11
25224,6
25230,3
25231,14
25243,2
25264,2
25271,6
25277,4
25288,3
25291,1
25295,11
25298,2
25324,74
25330,4
25360,2
25365,8
25400,2
25416,4
25429,2
25441,3
25446,2
25449,53
25453,13
25454,7
25483,5
25499,2
25501,264
25505,6
25507,7
25513,2
25534,7
25544,1
25555,1
25576,2
25581,47
25588,980
25601,19
25630,1
25646,13
25660,1
25670,2
25674,7
25676,4
25692,6
25694,1
25705,139
25708,1
25710,1
25732,138
25737,2
25742,159
25745,22
25767,1
25772,117
25781,14
25785,1
25789,1
25807,6181
25809,3
25820,15
25822,1
25832,2
25836,3
25893,2
25910,12
25941,1
25948,1
25952,2
25963,2
25999,295
26003,1
26010,2
26013,1
26024,2
26028,7
26048,6
26053,5
26067,2
26078,159
26086,2303
26097,47
26105,1
26116,1
26136,1
26137,20
26147,1
26149,6
26160,2
26161,29
26162,103
26210,1
26212,145
26225,6
26243,78
26256,55
26265,26
26281,1
26288,1
26290,3
26342,4
26352,1
26359,31
26379,1
26381,1
26398,1
26414,1
26419,3
26425,144
26434,1
26449,1
26453,82
26468,1
26476,4
26499,1
26514,29
26516,9300
26522,1324
26551,19
26553,1
26587,10
26600,2
26606,2
26607,2
26615,2
26617,47
26618,1
